,date,year,month,day,estacio,station_name,lat,lon,no2_daily_avg
58,2018-06-19,2018,6,19,43,Barcelona - Eixample,41.3853,2.1538,66.56521739130434
59,2018-06-19,2018,6,19,44,Barcelona - Gràcia,41.3987,2.1534,62.05263157894737
60,2018-06-19,2018,6,19,50,Barcelona - Ciutadella,41.3864,2.1874,48.52173913043478
61,2018-06-19,2018,6,19,54,Barcelona - Vall Hebron,41.4261,2.148,30.454545454545453
62,2018-06-19,2018,6,19,57,Barcelona - Palau Reial,41.3875,2.1151,30.304347826086957
63,2018-06-20,2018,6,20,4,Barcelona - Poblenou,41.4039,2.2045,37.458333333333336
64,2018-06-20,2018,6,20,42,Barcelona - Sants,41.3788,2.1331,52.04545454545455
65,2018-06-20,2018,6,20,43,Barcelona - Eixample,41.3853,2.1538,82.13636363636364
66,2018-06-20,2018,6,20,44,Barcelona - Gràcia,41.3987,2.1534,78.22727272727273
67,2018-06-20,2018,6,20,50,Barcelona - Ciutadella,41.3864,2.1874,46.59090909090909
68,2018-06-20,2018,6,20,54,Barcelona - Vall Hebron,41.4261,2.148,38.25
69,2018-06-20,2018,6,20,57,Barcelona - Palau Reial,41.3875,2.1151,54.833333333333336
70,2018-06-21,2018,6,21,4,Barcelona - Poblenou,41.4039,2.2045,64.20833333333333
71,2018-06-21,2018,6,21,42,Barcelona - Sants,41.3788,2.1331,67.61904761904762
72,2018-06-21,2018,6,21,43,Barcelona - Eixample,41.3853,2.1538,106.54166666666667
73,2018-06-21,2018,6,21,44,Barcelona - Gràcia,41.3987,2.1534,103.91304347826087
74,2018-06-21,2018,6,21,50,Barcelona - Ciutadella,41.3864,2.1874,71.19047619047619
75,2018-06-21,2018,6,21,54,Barcelona - Vall Hebron,41.4261,2.148,54.541666666666664
76,2018-06-21,2018,6,21,57,Barcelona - Palau Reial,41.3875,2.1151,59.875
77,2018-06-22,2018,6,22,4,Barcelona - Poblenou,41.4039,2.2045,62.95652173913044
78,2018-06-22,2018,6,22,42,Barcelona - Sants,41.3788,2.1331,19.0
79,2018-06-22,2018,6,22,43,Barcelona - Eixample,41.3853,2.1538,92.04347826086956
80,2018-06-22,2018,6,22,44,Barcelona - Gràcia,41.3987,2.1534,90.5
81,2018-06-22,2018,6,22,50,Barcelona - Ciutadella,41.3864,2.1874,65.52173913043478
82,2018-06-22,2018,6,22,54,Barcelona - Vall Hebron,41.4261,2.148,49.21739130434783
83,2018-06-22,2018,6,22,57,Barcelona - Palau Reial,41.3875,2.1151,52.17391304347826
84,2018-06-23,2018,6,23,4,Barcelona - Poblenou,41.4039,2.2045,16.125
85,2018-06-23,2018,6,23,42,Barcelona - Sants,41.3788,2.1331,27.789473684210527
86,2018-06-23,2018,6,23,43,Barcelona - Eixample,41.3853,2.1538,42.26086956521739
87,2018-06-23,2018,6,23,44,Barcelona - Gràcia,41.3987,2.1534,30.291666666666668
88,2018-06-23,2018,6,23,50,Barcelona - Ciutadella,41.3864,2.1874,14.916666666666666
89,2018-06-23,2018,6,23,54,Barcelona - Vall Hebron,41.4261,2.148,16.695652173913043
90,2018-06-23,2018,6,23,57,Barcelona - Palau Reial,41.3875,2.1151,24.25
91,2018-06-24,2018,6,24,4,Barcelona - Poblenou,41.4039,2.2045,23.125
92,2018-06-24,2018,6,24,42,Barcelona - Sants,41.3788,2.1331,26.916666666666668
93,2018-06-24,2018,6,24,43,Barcelona - Eixample,41.3853,2.1538,48.541666666666664
94,2018-06-24,2018,6,24,44,Barcelona - Gràcia,41.3987,2.1534,38.125
95,2018-06-24,2018,6,24,50,Barcelona - Ciutadella,41.3864,2.1874,27.347826086956523
96,2018-06-24,2018,6,24,54,Barcelona - Vall Hebron,41.4261,2.148,28.5
97,2018-06-24,2018,6,24,57,Barcelona - Palau Reial,41.3875,2.1151,21.666666666666668
98,2018-06-25,2018,6,25,4,Barcelona - Poblenou,41.4039,2.2045,26.565217391304348
99,2018-06-25,2018,6,25,42,Barcelona - Sants,41.3788,2.1331,30.5
100,2018-06-25,2018,6,25,43,Barcelona - Eixample,41.3853,2.1538,66.7
101,2018-06-25,2018,6,25,44,Barcelona - Gràcia,41.3987,2.1534,46.08695652173913
102,2018-06-25,2018,6,25,50,Barcelona - Ciutadella,41.3864,2.1874,29.08695652173913
